card_id	card_type	entity_id	title	summary	evidence	threshold	method	core	taxon	module	relation_type	score	observed_status	source_tables	source_taxon	target_node
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.179; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__3300026080_15		taxon_site	0.179365475163149	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.179; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300020185_000065		taxon_site	0.17868638654221	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.178; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300025296_001443		taxon_site	0.177623188302016	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.178; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300023238_000017		taxon_site	0.177559788381226	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.177; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_905181585.1		taxon_site	0.176943372035229	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.176; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300028198_000003		taxon_site	0.176318860499504	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.176; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_905478445.1		taxon_site	0.176173455543991	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.176; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__TARA_ARC_NCLDV_00033		taxon_site	0.175985388836801	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.175; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300006310_000001		taxon_site	0.175290416222114	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.175; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__IMGVR_UViG_3300046532_001046		taxon_site	0.175160175712616	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.174; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__GCA_905480315.1		taxon_site	0.174208688207942	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.174; taxon prevalence cores 3; site samples 26.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R1	S__TARA_ARC_108_MAG_00181		taxon_site	0.17404205047857	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.019; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__TARA_SOC_28_MAG_00007		taxon_site	0.0185357932989571	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.018; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCF_002836475.1		taxon_site	0.0180990239820122	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.018; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_013203245.1		taxon_site	0.0176405119980475	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.017; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_905182765.1		taxon_site	0.0172348348180934	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.017; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__GCA_905616395.1		taxon_site	0.0170530953259725	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.017; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__IMGVR_UViG_3300031687_001020		taxon_site	0.0168398876826609	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
taxon_site_prev_10_bicor	predicted_link	taxon_site::prev_10::bicor::::	Predicted taxon_site link  -> 	Predicted taxon-site link between  and  with score 0.017; taxon prevalence cores 2; site samples 25.	Learned from calibrated latent similarity on prev_10/bicor using candidate predictions written by 10_ngraph_link_prediction.py.	prev_10	bicor	GeoB25202_R2	S__Schulz_GVMAG_S_1024967_63		taxon_site	0.0168306405888982	predicted	"{""summary"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_summary.tsv"",""top_candidates"":""/src/results/ngraph/abundance_thresholding/deep_knowledge_discovery/link_prediction_top_candidates.tsv""}"	""	""
